Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],6780,9,1,
0,[],5301,80,1,
0,[],11339,33,1,
0,[],14345,10,1,
0,[],11567,93,1,
0,[],5435,66,1,
0,[],7865,94,1,
0,[],14732,129,1,
0,[],11891,84,1,
0,[],3539,126,1,
0,[],6021,9,1,
0,[],6601,72,1,
0,[],10232,56,1,
0,[],10189,161,1,
0,[],8515,42,1,
0,[],8995,132,1,
0,[],5148,78,1,
0,[],8062,176,1,
0,[],8477,185,1,
0,[],2398,31,1,
0,[],8651,15,1,
0,[],10479,77,1,
0,[],1271,71,1,
0,[],6267,191,1,
0,[],8616,0,1,
0,[],10112,196,1,
0,[],3326,114,1,
0,[],12743,62,1,
0,[],9854,25,1,
0,[],11849,57,1,
0,[],4817,61,1,
0,[],5091,193,1,
0,[],8906,195,1,
0,[],11592,104,1,
0,[],11787,32,1,
0,[],8571,116,1,
0,[],10766,113,1,
0,[],8488,142,1,
0,[],7725,158,1,
0,[],10664,141,1,
0,[],7102,181,1,
0,[],10490,76,1,
0,[],11314,82,1,
0,[],9537,55,1,
0,[],6361,25,1,
0,[],5611,182,1,
0,[],3766,22,1,
0,[],7336,148,1,
0,[],4400,181,1,
0,[],6346,46,1,
0,[],11419,173,1,
0,[],11541,121,1,
0,[],2125,138,1,
0,[],5594,174,1,
0,[],11344,39,1,
0,[],9716,70,1,
0,[],8720,23,1,
0,[],10355,172,1,
0,[],14082,55,1,
0,[],11526,124,1,
0,[],11055,94,1,
0,[],12070,30,1,
0,[],11179,152,1,
0,[],3945,78,1,
0,[],10994,101,1,
0,[],11106,194,1,
0,[],4905,152,1,
0,[],10275,31,1,
0,[],7098,68,1,
0,[],8751,73,1,
0,[],13654,120,1,
0,[],7658,140,1,
0,[],10034,5,1,
0,[],9574,45,1,
0,[],4845,188,1,
0,[],6329,46,1,
0,[],3876,27,1,
0,[],2165,169,1,
0,[],11780,176,1,
0,[],10290,18,1,
0,[],11879,3,1,
0,[],8987,89,1,
0,[],13534,74,1,
0,[],9233,2,1,
0,[],7199,50,1,
0,[],9732,48,1,
0,[],9594,63,1,
0,[],12521,101,1,
0,[],11201,108,1,
0,[],7697,90,1,
0,[],16415,135,1,
0,[],4835,33,1,
0,[],11577,180,1,
0,[],8720,20,1,
0,[],8524,118,1,
0,[],7701,114,1,
0,[],8097,173,1,
0,[],9983,180,1,
0,[],8305,39,1,
0,[],10826,47,1,
0,[],11879,110,1,
0,[],4029,75,1,
0,[],4109,16,1,
0,[],9116,66,1,
0,[],8723,153,1,
0,[],1267,7,1,
0,[],12021,137,1,
0,[],11185,19,1,
0,[],9271,149,1,
0,[],14333,155,1,
0,[],8291,131,1,
0,[],14698,187,1,
0,[],11625,92,1,
0,[],2459,186,1,
0,[],5566,97,1,
0,[],12372,60,1,
0,[],6415,79,1,
0,[],13494,105,1,
0,[],12898,85,1,
0,[],10506,81,1,
0,[],11862,157,1,
0,[],12173,147,1,
0,[],12697,17,1,
0,[],8030,109,1,
0,[],10483,24,1,
0,[],4660,175,1,
0,[],16633,151,1,
0,[],3530,132,1,
0,[],2808,167,1,
0,[],7858,45,1,
0,[],2518,111,1,
0,[],12082,145,1,
0,[],12187,58,1,
0,[],10058,177,1,
