Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
0,[],6780,9,1,,1.4175837710499763,1.0
0,[],5301,80,1,,0.8128014393150806,1.0
0,[],11339,33,1,,1.801193239632994,1.0
0,[],14345,10,1,,2.362088243942708,1.0
0,[],11567,93,1,,1.8701877081766725,1.0
0,[],5435,66,1,,0.7709460998885334,1.0
0,[],7865,94,1,,1.1882872669957578,1.0
0,[],14732,129,1,,2.478639173787087,1.0
0,[],11891,84,1,,1.84578231535852,1.0
0,[],3539,126,1,,0.5075964871793985,1.0
0,[],6021,9,1,,0.9441757006570696,1.0
0,[],6601,72,1,,0.9670870332047344,1.0
0,[],10232,56,1,,1.5921817203052342,1.0
0,[],10189,161,1,,1.6629468379542232,1.0
0,[],8515,42,1,,1.3363888817839324,1.0
0,[],8995,132,1,,1.5786361866630614,1.0
0,[],5148,78,1,,0.74774728436023,1.0
0,[],8062,176,1,,1.2917243810370564,1.0
0,[],8477,185,1,,1.358337484765798,1.0
0,[],2398,31,1,,0.3400920489802956,1.0
0,[],8651,15,1,,1.3674996066838505,1.0
0,[],10479,77,1,,1.7471523680724204,1.0
0,[],1271,71,1,,0.2026402899064123,1.0
0,[],6267,191,1,,0.9844395308755338,1.0
0,[],8616,0,1,,1.249420179054141,1.0
0,[],10112,196,1,,1.7156343329697847,1.0
0,[],3326,114,1,,0.4629111243411898,1.0
0,[],12743,62,1,,2.0989518500864506,1.0
0,[],9854,25,1,,1.5671754288487136,1.0
0,[],11849,57,1,,1.8789362930692728,1.0
0,[],4817,61,1,,0.7485509472899139,1.0
0,[],5091,193,1,,0.7475925609469414,1.0
0,[],8906,195,1,,1.3684659032151103,1.0
0,[],11592,104,1,,1.845040963962674,1.0
0,[],11787,32,1,,1.9137056730687616,1.0
0,[],8571,116,1,,1.4869056451134384,1.0
0,[],10766,113,1,,1.617407709825784,1.0
0,[],8488,142,1,,1.3481788001954556,1.0
0,[],7725,158,1,,1.1943401987664402,1.0
0,[],10664,141,1,,1.8355757389217613,1.0
0,[],7102,181,1,,1.1229355661198497,1.0
0,[],10490,76,1,,1.635260029695928,1.0
0,[],11314,82,1,,1.659545463975519,1.0
0,[],9537,55,1,,1.505429650656879,1.0
0,[],6361,25,1,,1.0062742051668463,1.0
0,[],5611,182,1,,0.8897846378386021,1.0
0,[],3766,22,1,,0.5400121044367552,1.0
0,[],7336,148,1,,1.2491068206727505,1.0
0,[],4400,181,1,,0.7319678380154073,1.0
0,[],6346,46,1,,1.25706900190562,1.0
0,[],11419,173,1,,1.88936985982582,1.0
0,[],11541,121,1,,2.0705088479444385,1.0
0,[],2125,138,1,,0.3265460282564163,1.0
0,[],5594,174,1,,0.9618364819325508,1.0
0,[],11344,39,1,,1.7942787567153573,1.0
0,[],9716,70,1,,1.530783727765083,1.0
0,[],8720,23,1,,1.3811579239554703,1.0
0,[],10355,172,1,,1.6075843959115446,1.0
0,[],14082,55,1,,2.334008404053748,1.0
0,[],11526,124,1,,1.7716779396869242,1.0
0,[],11055,94,1,,1.7926974263973534,1.0
0,[],12070,30,1,,1.8880851729772985,1.0
